input,match,property_id,latitude,longitude,search_url,image_url
1120 S GROVE AV,1120 S Grove Ave,13247121,41.8679787,-87.7948734,/IL/Oak-Park/1120-S-Grove-Ave-60304/home/13247121,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1120+S+Grove+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=krLdTxfy3gHQXVUP4lDfHVNwXlo=']
522 S WESLEY AVE,522 Wesley Ave,13249297,41.8788853,-87.7914686,/IL/Oak-Park/522-Wesley-Ave-60304/home/13249297,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=522+Wesley+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=0dXUfgDAOvbIhVkKjQFT7usOvko=']
1004 WISCONSIN AVE,1004 Wisconsin Ave,13248000,41.8702645,-87.8016872,/IL/Oak-Park/1004-Wisconsin-Ave-60304/home/13248000,['https://ssl.cdn-redfin.com/photo/68/mbphoto/306/genMid.08817306_2.jpg']
805 GUNDERSON AVE,805 Gunderson Ave,13248023,41.8741091,-87.7870182,/IL/Oak-Park/805-Gunderson-Ave-60304/home/13248023,['https://ssl.cdn-redfin.com/photo/68/mbphoto/982/genMid.11884982_0.jpg']
1046 S KENILWORTH AVE5,,,,,,
125 LAKEVIEW DR#514,,,,,,
1171 S RIDGELAND AVE,1171 S Ridgeland Ave,13246591,41.8663389,-87.7842614,/IL/Oak-Park/1171-S-Ridgeland-Ave-60304/home/13246591,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1171+S+Ridgeland+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=4k5aP6cqccYiSCYabrKzLcjbieU=']
1009 WISCONSIN,1009 Wisconsin Ave,13247497,41.870093,-87.8022243,/IL/Oak-Park/1009-Wisconsin-Ave-60304/home/13247497,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1009+Wisconsin+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=i9hKXfXSaPpG86YlJWG2QlGOEIQ=']
1015 LYMAN AVE,1015 Lyman Ave,13251400,41.870102,-87.777105,/IL/Oak-Park/1015-Lyman-Ave-60304/home/13251400,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1015+Lyman+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=wjf0ZeyMlq8h3gImq-AZ-ms5C0w=']
1134 S TAYLOR AVE,1134 S Taylor Ave,13250659,41.8677696,-87.7775642,/IL/Oak-Park/1134-S-Taylor-Ave-60304/home/13250659,['https://ssl.cdn-redfin.com/photo/68/mbphoto/911/genMid.09275911_2.jpg']
